British ;American
armour;armor
armoury;armoury
behaviour;behavior
candour;candor
clamour;clamor
colour;color
demeanour;demeanor
endeavour;endeavor
favourite;favourite
flavour;flavor
glamour;glamor
harbour;harbor
honour;honor
humour;humor
labour;labor
neighbour;neighbor
odour;odor
rancour;rancor
rigour;rigor
rumour;rumor
saviour;savior
savour;savor
savoury;savoury
splendour;splendor
valour;valor
vapour;vapor
vigour;vigor
amphitheatre;amphitheater
calibre;caliber
centimetre;centimeter
centre;center
fibre;fiber
kilometre;kilometer
litre;liter
louvre;louver
lustre;luster
manoeuvre;manoeuver
meagre;meager
metre;meter
millimetre;millimeter
sabre;saber
sceptre;scepter
sombre;somber
spectre;specter
theatre;theater
cancelled;canceled
counsellor;counselor
equalled;equaled
fuelling;fueling
fuelled;fueled
grovelling;groveling
jeweller;jeweler
jewellery;jewelery
levelled;leveled
libelled;libeled
marvellous;marvelous
modelling;modeling
panelled;paneled
quarrelling;quarreling
revelled;reveled
woollen;woolen
analogue;analog
dialogue;dialog
catalogue;catalog
epilogue;epilog
monologue;monolog
prologue;prolog
travelogue;travelog
appal;appall
distil;distill
enrol;enroll
enthral;enthrall
fulfil;fulfill
instil;instill
skilful;skilfull
wilful;wilfull
diarrhoea;diarrhoea
oestrogen;oestrogen
foetus;foetus
manoeuvre;manoeuvre
mementoes;mementoes
anaemia;anemia
caesarean;cesarean
gynaecology;gynecology
haemorrhage;hemorrhage
leukaemia;leukemia
palaeontology;paleontology
paediatric;pediatric
appetiser;appetizer
authorise;authorize
capitalise;capitalize
characterise;characterize
civilise;civilize
colonise;colonize
criticise;criticize
dramatise;dramatize
emphasise;emphasize
equalise;equalize
mobilise;mobilize
naturalise;naturalize
organise;organize
popularise;popularize
realise;realize
recognise;recognize
satirise;satirize
standardise;standardize
symbolise;symbolize
vaporise;vaporize
analyse;analyze
paralyse;paralyze
defence;defense
offence;offense
pretence;pretense
sceptic;skeptic
whisky;whiskey
phial;vial
pyjamas;pajamas
nought;naught
moustache;mustache
carat;karat
grey;gray
cosy;cozy
axe;ax
aluminium;aluminum
judgement;judgment
ageing;aging
acknowledgement;acknowledgment
cheque;check
chequer;checker
programme;program
mould;mold
moult;molt
smoulder;smolder
tyre;tire
gybe;jibe
